version,num_hidden_test_passed_phase1,failed_tests_phase1,passed_tests_phase1,num_hidden_test_failed_phase1,specification,Task,anon_id
G1A,10,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],23,G1,A,S0001
G1A,12,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],21,G1,A,S0002
G1A,10,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],23,G1,A,S0003
G1A,5,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC14_event_full_day;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC23_empty_day_duration_fills_last_slot;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],28,G1,A,S0004
G1A,13,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],20,G1,A,S0005
G1A,12,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],21,G1,A,S0006
G1A,10,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],23,G1,A,S0007
G1A,13,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC20_many_events;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],20,G1,A,S0008
G1A,10,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC16_invalid_time_format;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],23,G1,A,S0009
G1A,10,test_TC1_empty_day;test_TC2_single_event_midday;test_TC3_multiple_nonoverlapping_events;test_TC4_overlapping_events;test_TC5_adjacent_events;test_TC6_meeting_fits_morning;test_TC8_event_partial_outside_hours;test_TC9_friday_cutoff;test_TC10_friday_event_ends_at_cutoff;test_TC12_granularity_15min;test_TC13_short_duration;test_TC15_negative_duration;test_TC16_invalid_time_format;test_TC17_invalid_event_interval;test_TC18_invalid_date;test_TC20_many_events;test_TC21_small_gaps_between_events;test_TC22_friday_overlap_long_meeting;test_TC24_friday_event_partial_cutoff;test_TC25_multiple_consecutive_overlaps;test_TC28_buffer_after_event;test_TC30_meeting_duration_multiple_of_30[45-False];test_TC30_meeting_duration_multiple_of_30[20-False],test_TC7_meeting_exceeds_working_hours;test_TC11_friday_long_meeting;test_TC14_event_full_day;test_TC19_multiple_windows_order;test_TC23_empty_day_duration_fills_last_slot;test_TC26_lunch_break_blocked;test_TC27_start_after_lunch_allowed;test_TC29_zero_duration_meeting;test_TC30_meeting_duration_multiple_of_30[30-True];test_TC30_meeting_duration_multiple_of_30[60-True],23,G1,A,S0010
